library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Init,Init.Data.Range.Lemmas,Std.Legacy.Range.size_eq,_private.Init.Data.Range.Lemmas.0.Std.Legacy.Range.size_eq._proof_1_3,2,removed,
Init,Init.Data.Range.Lemmas,Std.Legacy.Range.size_eq,_private.Init.Data.Range.Lemmas.0.Std.Legacy.Range.size_eq._proof_1_4,2,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.getElem!_toArray_roo_ne_zero_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.getElem!_toArray_roo_ne_zero_iff._proof_1_1,7,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.getElem!_toList_roc_ne_zero_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.getElem!_toList_roc_ne_zero_iff._proof_1_2,7,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.getElem?_toList_rco,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.getElem?_toList_rco._proof_1_1,2,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toArray_rcc_eq_singleton_append_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toArray_rcc_eq_singleton_append_iff._proof_1_1,2,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toArray_rco_eq_singleton_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toArray_rco_eq_singleton_iff._proof_1_1,5,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toArray_roo_eq_singleton_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toArray_roo_eq_singleton_iff._proof_1_1,2,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toList_rcc_eq_cons_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toList_rcc_eq_cons_iff._proof_1_1,2,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toList_rcc_eq_nil_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toList_rcc_eq_nil_iff._proof_1_1,2,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toList_rcc_eq_singleton_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toList_rcc_eq_singleton_iff._proof_1_1,7,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toList_rcc_ne_nil_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toList_rcc_ne_nil_iff._proof_1_1,2,removed,
Init,Init.Data.Range.Polymorphic.IntLemmas,Int.toList_rco_eq_singleton_iff,_private.Init.Data.Range.Polymorphic.IntLemmas.0.Int.toList_rco_eq_singleton_iff._proof_1_1,5,removed,
